ID,Category,cluster,cluster_name
16852973,HR,6,HR & People Management
22323967,HR,4,Business & Media
33176873,HR,6,HR & People Management
27018550,HR,8,Sales & Retail
17812897,HR,6,HR & People Management
11592605,HR,6,HR & People Management
25824789,HR,6,HR & People Management
15375009,HR,6,HR & People Management
11847784,HR,6,HR & People Management
32896934,HR,6,HR & People Management
29149998,HR,6,HR & People Management
11480899,HR,6,HR & People Management
23155093,HR,6,HR & People Management
11763983,HR,6,HR & People Management
27490876,HR,6,HR & People Management
32977530,HR,6,HR & People Management
93002334,HR,6,HR & People Management
24184357,HR,6,HR & People Management
73077810,HR,6,HR & People Management
13879043,HR,6,HR & People Management
30163002,HR,6,HR & People Management
18827609,HR,6,HR & People Management
25676643,HR,6,HR & People Management
12786012,HR,6,HR & People Management
87968870,HR,6,HR & People Management
46258701,HR,6,HR & People Management
14225422,HR,6,HR & People Management
29297973,HR,6,HR & People Management
18334783,HR,6,HR & People Management
19717385,HR,6,HR & People Management
49937469,HR,6,HR & People Management
18316239,HR,6,HR & People Management
17855844,HR,6,HR & People Management
57667857,HR,6,HR & People Management
17422560,HR,6,HR & People Management
32947778,HR,6,HR & People Management
23914451,HR,6,HR & People Management
21265194,HR,6,HR & People Management
51769822,HR,6,HR & People Management
19616406,HR,6,HR & People Management
41523474,HR,6,HR & People Management
59962788,HR,6,HR & People Management
86184722,HR,6,HR & People Management
28419173,HR,6,HR & People Management
18155310,HR,6,HR & People Management
26780935,HR,6,HR & People Management
34554248,HR,6,HR & People Management
26202430,HR,7,Information Technology
19867922,HR,6,HR & People Management
91930382,HR,6,HR & People Management
30646367,HR,6,HR & People Management
39650734,HR,6,HR & People Management
72231872,HR,6,HR & People Management
13520837,HR,6,HR & People Management
18422164,HR,6,HR & People Management
30862904,HR,6,HR & People Management
52979663,HR,2,Engineering & Construction
28828844,HR,6,HR & People Management
21830565,HR,6,HR & People Management
27523575,HR,8,Sales & Retail
39081840,HR,6,HR & People Management
20925036,HR,6,HR & People Management
15576950,HR,6,HR & People Management
29564653,HR,6,HR & People Management
14886205,HR,6,HR & People Management
17412079,HR,6,HR & People Management
16861758,HR,1,Healthcare & Law
93112113,HR,6,HR & People Management
15041689,HR,6,HR & People Management
80162314,HR,6,HR & People Management
20993320,HR,6,HR & People Management
14640322,HR,6,HR & People Management
26289308,HR,6,HR & People Management
23408537,HR,6,HR & People Management
28808263,HR,11,Accounting & Finance
18084150,HR,6,HR & People Management
26671167,HR,6,HR & People Management
44476983,HR,6,HR & People Management
16877897,HR,6,HR & People Management
29091445,HR,6,HR & People Management
25724495,HR,6,HR & People Management
24508725,HR,6,HR & People Management
11698189,HR,6,HR & People Management
27165830,HR,6,HR & People Management
47470864,HR,6,HR & People Management
34740556,HR,6,HR & People Management
18557164,HR,6,HR & People Management
19179079,HR,6,HR & People Management
13376919,HR,6,HR & People Management
26048718,HR,6,HR & People Management
17150707,HR,6,HR & People Management
18297650,HR,6,HR & People Management
23510685,HR,6,HR & People Management
39970711,HR,6,HR & People Management
20806155,HR,7,Information Technology
28640735,HR,6,HR & People Management
15575117,HR,1,Healthcare & Law
27496514,HR,8,Sales & Retail
14256329,HR,6,HR & People Management
19336728,HR,6,HR & People Management
10694288,HR,6,HR & People Management
28175164,HR,6,HR & People Management
10399912,HR,6,HR & People Management
20417897,HR,6,HR & People Management
18731098,HR,6,HR & People Management
30563572,HR,6,HR & People Management
24402267,HR,6,HR & People Management
32308556,HR,4,Business & Media
27847081,HR,6,HR & People Management
25150191,HR,6,HR & People Management
37058472,DESIGNER,2,Engineering & Construction
68240723,DESIGNER,9,Design & Fashion
76010167,DESIGNER,9,Design & Fashion
19164410,DESIGNER,9,Design & Fashion
29147100,DESIGNER,9,Design & Fashion
25061645,DESIGNER,9,Design & Fashion
11919526,DESIGNER,5,Education & Arts
81011612,DESIGNER,4,Business & Media
11722421,DESIGNER,9,Design & Fashion
13774329,DESIGNER,2,Engineering & Construction
35990852,DESIGNER,7,Information Technology
36269672,DESIGNER,8,Sales & Retail
90066849,DESIGNER,5,Education & Arts
27529455,DESIGNER,5,Education & Arts
85101052,DESIGNER,7,Information Technology
22567495,DESIGNER,5,Education & Arts
10751444,DESIGNER,2,Engineering & Construction
11807040,DESIGNER,1,Healthcare & Law
12415691,DESIGNER,7,Information Technology
38565119,DESIGNER,9,Design & Fashion
21705160,DESIGNER,9,Design & Fashion
26496059,DESIGNER,9,Design & Fashion
29524570,DESIGNER,1,Healthcare & Law
15936656,DESIGNER,8,Sales & Retail
13557622,DESIGNER,9,Design & Fashion
41506705,DESIGNER,2,Engineering & Construction
32954522,DESIGNER,8,Sales & Retail
44185767,DESIGNER,7,Information Technology
14014749,DESIGNER,9,Design & Fashion
34349255,DESIGNER,9,Design & Fashion
16288901,DESIGNER,9,Design & Fashion
25422388,DESIGNER,9,Design & Fashion
22496394,DESIGNER,2,Engineering & Construction
38744475,DESIGNER,9,Design & Fashion
67582956,DESIGNER,2,Engineering & Construction
26676567,DESIGNER,9,Design & Fashion
14724186,DESIGNER,9,Design & Fashion
10748989,DESIGNER,9,Design & Fashion
26924514,DESIGNER,5,Education & Arts
12674307,DESIGNER,8,Sales & Retail
23951429,DESIGNER,9,Design & Fashion
26046064,DESIGNER,9,Design & Fashion
28326441,DESIGNER,9,Design & Fashion
78149576,DESIGNER,8,Sales & Retail
17555081,DESIGNER,5,Education & Arts
39776400,DESIGNER,2,Engineering & Construction
37263609,DESIGNER,9,Design & Fashion
13518263,DESIGNER,9,Design & Fashion
11155153,DESIGNER,2,Engineering & Construction
54201930,DESIGNER,4,Business & Media
10466583,DESIGNER,8,Sales & Retail
26790545,DESIGNER,9,Design & Fashion
11958994,DESIGNER,8,Sales & Retail
30968749,DESIGNER,7,Information Technology
20932019,DESIGNER,2,Engineering & Construction
51681660,DESIGNER,9,Design & Fashion
34657584,DESIGNER,2,Engineering & Construction
15471999,DESIGNER,8,Sales & Retail
18979238,DESIGNER,2,Engineering & Construction
26622051,DESIGNER,2,Engineering & Construction
22675694,DESIGNER,9,Design & Fashion
25023614,DESIGNER,9,Design & Fashion
20390397,DESIGNER,2,Engineering & Construction
17199951,DESIGNER,9,Design & Fashion
14743911,DESIGNER,6,HR & People Management
24455357,DESIGNER,9,Design & Fashion
91153752,DESIGNER,9,Design & Fashion
14528265,DESIGNER,2,Engineering & Construction
18460045,DESIGNER,9,Design & Fashion
20986595,DESIGNER,4,Business & Media
20748926,DESIGNER,4,Business & Media
32532982,DESIGNER,2,Engineering & Construction
34317538,DESIGNER,7,Information Technology
19195747,DESIGNER,9,Design & Fashion
12547982,DESIGNER,9,Design & Fashion
94417768,DESIGNER,2,Engineering & Construction
24655918,DESIGNER,9,Design & Fashion
27497542,DESIGNER,8,Sales & Retail
62312955,DESIGNER,9,Design & Fashion
22506245,DESIGNER,9,Design & Fashion
28663949,DESIGNER,9,Design & Fashion
39434376,DESIGNER,4,Business & Media
13998435,DESIGNER,9,Design & Fashion
30965258,DESIGNER,8,Sales & Retail
18835363,DESIGNER,5,Education & Arts
26503829,DESIGNER,9,Design & Fashion
18198627,DESIGNER,2,Engineering & Construction
39252859,DESIGNER,9,Design & Fashion
34051710,DESIGNER,4,Business & Media
37664296,DESIGNER,7,Information Technology
21916744,DESIGNER,9,Design & Fashion
15425154,DESIGNER,4,Business & Media
24285142,DESIGNER,9,Design & Fashion
24583187,DESIGNER,9,Design & Fashion
29865476,DESIGNER,0,Finance & Banking
25949631,DESIGNER,4,Business & Media
21283733,DESIGNER,9,Design & Fashion
51018476,DESIGNER,9,Design & Fashion
13014900,DESIGNER,9,Design & Fashion
44145704,DESIGNER,5,Education & Arts
18795567,DESIGNER,9,Design & Fashion
42384185,DESIGNER,9,Design & Fashion
26942552,DESIGNER,8,Sales & Retail
67645662,DESIGNER,2,Engineering & Construction
34511655,DESIGNER,9,Design & Fashion
37695494,DESIGNER,9,Design & Fashion
93301686,DESIGNER,6,HR & People Management
36856210,INFORMATION-TECHNOLOGY,7,Information Technology
21780877,INFORMATION-TECHNOLOGY,7,Information Technology
33241454,INFORMATION-TECHNOLOGY,2,Engineering & Construction
25990239,INFORMATION-TECHNOLOGY,5,Education & Arts
16899268,INFORMATION-TECHNOLOGY,7,Information Technology
91635250,INFORMATION-TECHNOLOGY,7,Information Technology
19796840,INFORMATION-TECHNOLOGY,0,Finance & Banking
15651486,INFORMATION-TECHNOLOGY,7,Information Technology
52246737,INFORMATION-TECHNOLOGY,7,Information Technology
12045067,INFORMATION-TECHNOLOGY,7,Information Technology
13836471,INFORMATION-TECHNOLOGY,7,Information Technology
14789139,INFORMATION-TECHNOLOGY,1,Healthcare & Law
36434348,INFORMATION-TECHNOLOGY,7,Information Technology
27536013,INFORMATION-TECHNOLOGY,7,Information Technology
18301617,INFORMATION-TECHNOLOGY,7,Information Technology
24913648,INFORMATION-TECHNOLOGY,7,Information Technology
26801767,INFORMATION-TECHNOLOGY,7,Information Technology
27372171,INFORMATION-TECHNOLOGY,7,Information Technology
91697974,INFORMATION-TECHNOLOGY,6,HR & People Management
28672970,INFORMATION-TECHNOLOGY,7,Information Technology
66832845,INFORMATION-TECHNOLOGY,7,Information Technology
25207620,INFORMATION-TECHNOLOGY,7,Information Technology
41344156,INFORMATION-TECHNOLOGY,7,Information Technology
68460556,INFORMATION-TECHNOLOGY,4,Business & Media
10247517,INFORMATION-TECHNOLOGY,7,Information Technology
25959103,INFORMATION-TECHNOLOGY,7,Information Technology
13385306,INFORMATION-TECHNOLOGY,7,Information Technology
38753827,INFORMATION-TECHNOLOGY,7,Information Technology
17681064,INFORMATION-TECHNOLOGY,7,Information Technology
25905275,INFORMATION-TECHNOLOGY,8,Sales & Retail
11580408,INFORMATION-TECHNOLOGY,7,Information Technology
19201175,INFORMATION-TECHNOLOGY,7,Information Technology
12635195,INFORMATION-TECHNOLOGY,7,Information Technology
32959732,INFORMATION-TECHNOLOGY,7,Information Technology
17688766,INFORMATION-TECHNOLOGY,7,Information Technology
20024870,INFORMATION-TECHNOLOGY,4,Business & Media
22450718,INFORMATION-TECHNOLOGY,7,Information Technology
46260230,INFORMATION-TECHNOLOGY,7,Information Technology
10839851,INFORMATION-TECHNOLOGY,7,Information Technology
18752129,INFORMATION-TECHNOLOGY,5,Education & Arts
37764298,INFORMATION-TECHNOLOGY,7,Information Technology
90867631,INFORMATION-TECHNOLOGY,7,Information Technology
17641670,INFORMATION-TECHNOLOGY,7,Information Technology
24889109,INFORMATION-TECHNOLOGY,7,Information Technology
24083609,INFORMATION-TECHNOLOGY,7,Information Technology
24038620,INFORMATION-TECHNOLOGY,7,Information Technology
29051656,INFORMATION-TECHNOLOGY,7,Information Technology
20237244,INFORMATION-TECHNOLOGY,7,Information Technology
20001721,INFORMATION-TECHNOLOGY,7,Information Technology
92069209,INFORMATION-TECHNOLOGY,7,Information Technology
13405733,INFORMATION-TECHNOLOGY,7,Information Technology
28697203,INFORMATION-TECHNOLOGY,7,Information Technology
28035460,INFORMATION-TECHNOLOGY,7,Information Technology
21283365,INFORMATION-TECHNOLOGY,7,Information Technology
17987433,INFORMATION-TECHNOLOGY,1,Healthcare & Law
10553553,INFORMATION-TECHNOLOGY,7,Information Technology
15118506,INFORMATION-TECHNOLOGY,7,Information Technology
18176523,INFORMATION-TECHNOLOGY,7,Information Technology
24020470,INFORMATION-TECHNOLOGY,7,Information Technology
70089206,INFORMATION-TECHNOLOGY,7,Information Technology
27770859,INFORMATION-TECHNOLOGY,7,Information Technology
57002858,INFORMATION-TECHNOLOGY,7,Information Technology
13477922,INFORMATION-TECHNOLOGY,7,Information Technology
28126340,INFORMATION-TECHNOLOGY,7,Information Technology
37242217,INFORMATION-TECHNOLOGY,7,Information Technology
10089434,INFORMATION-TECHNOLOGY,7,Information Technology
11957080,INFORMATION-TECHNOLOGY,7,Information Technology
35325329,INFORMATION-TECHNOLOGY,1,Healthcare & Law
10840430,INFORMATION-TECHNOLOGY,7,Information Technology
64017585,INFORMATION-TECHNOLOGY,7,Information Technology
19850482,INFORMATION-TECHNOLOGY,7,Information Technology
